,trace,Cache_policy,repl,ipc,hit,miss,size
0,cadical-high-60K-134B.champsimtrace.xz,E,fifo,0.18302,30311,1227886,1
1,cadical-high-60K-134B.champsimtrace.xz,I,fifo,0.190822,676280,1204882,1
2,kissat-inc-high-30K-1802B.champsimtrace.xz,I,rand,0.301844,103459,520296,1
3,cadical-high-60K-1227B.champsimtrace.xz,I,rand,0.162593,99279,1173916,1
4,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lru,0.304097,349474,508426,1
5,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lru,0.304251,347690,508412,1
6,cadical-high-60K-1227B.champsimtrace.xz,N,fifo,0.162239,672769,1171662,1
7,kissat-inc-high-30K-1802B.champsimtrace.xz,I,fifo,0.30386,337991,511479,1
8,cadical-high-60K-134B.champsimtrace.xz,N,fifo,0.191009,674591,1209031,1
9,kissat-inc-high-30K-1802B.champsimtrace.xz,N,fifo,0.304157,337392,518710,1
10,cadical-high-60K-134B.champsimtrace.xz,E,rand,0.183034,21215,1227902,1
11,kissat-inc-high-30K-1802B.champsimtrace.xz,N,rand,0.304983,118024,738009,1
12,cadical-high-60K-134B.champsimtrace.xz,I,lfu,0.190024,26386,1219248,1
13,cadical-high-60K-1227B.champsimtrace.xz,N,rand,0.162375,71054,1773371,1
14,cadical-high-60K-134B.champsimtrace.xz,N,lfu,0.190814,44825,1838794,1
15,cadical-high-60K-134B.champsimtrace.xz,I,lru,0.19083,681737,1204011,1
16,kissat-inc-high-30K-1802B.champsimtrace.xz,E,fifo,0.30456,47504,545990,1
17,kissat-inc-high-30K-1802B.champsimtrace.xz,E,rand,0.302983,29110,545959,1
18,cadical-high-60K-1227B.champsimtrace.xz,N,lfu,0.163014,49264,1795167,1
19,cadical-high-60K-1227B.champsimtrace.xz,I,lru,0.162117,678553,1167959,1
20,cadical-high-60K-1227B.champsimtrace.xz,I,lfu,0.162821,31522,1174089,1
21,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lfu,0.302748,48069,514545,1
22,cadical-high-60K-134B.champsimtrace.xz,N,rand,0.19047,76708,1806836,1
23,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lru,0.304722,49393,545990,1
24,cadical-high-60K-1227B.champsimtrace.xz,E,lru,0.15935,30888,1192102,1
25,cadical-high-60K-1227B.champsimtrace.xz,E,lfu,0.158769,7198,1192106,1
26,cadical-high-60K-134B.champsimtrace.xz,E,lfu,0.181755,4081,1227883,1
27,cadical-high-60K-1227B.champsimtrace.xz,E,rand,0.160195,30031,1192036,1
28,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lfu,0.300876,7377,545989,1
29,cadical-high-60K-1227B.champsimtrace.xz,I,fifo,0.16209,674531,1168996,1
30,cadical-high-60K-134B.champsimtrace.xz,E,lru,0.182925,30904,1227886,1
31,cadical-high-60K-1227B.champsimtrace.xz,N,lru,0.162267,676427,1168004,1
32,cadical-high-60K-134B.champsimtrace.xz,N,lru,0.191036,679559,1204064,1
33,cadical-high-60K-1227B.champsimtrace.xz,E,fifo,0.159369,30483,1192102,1
34,cadical-high-60K-134B.champsimtrace.xz,I,rand,0.190351,84110,1217375,1
35,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lfu,0.305799,103629,752471,1
36,cadical-high-60K-134B.champsimtrace.xz,E,fifo,0.185382,72820,1227882,2
37,cadical-high-60K-134B.champsimtrace.xz,I,fifo,0.192054,727584,1156491,2
38,kissat-inc-high-30K-1802B.champsimtrace.xz,I,rand,0.314404,338361,424340,2
39,cadical-high-60K-1227B.champsimtrace.xz,I,rand,0.168321,463009,1078104,2
40,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lru,0.317396,457989,399904,2
41,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lru,0.317567,456209,399892,2
42,cadical-high-60K-1227B.champsimtrace.xz,N,fifo,0.165392,738424,1106006,2
43,kissat-inc-high-30K-1802B.champsimtrace.xz,I,fifo,0.315176,431721,421444,2
44,cadical-high-60K-134B.champsimtrace.xz,N,fifo,0.19225,725520,1158109,2
45,kissat-inc-high-30K-1802B.champsimtrace.xz,N,fifo,0.315508,431918,424183,2
46,cadical-high-60K-134B.champsimtrace.xz,E,rand,0.18639,69534,1227772,2
47,kissat-inc-high-30K-1802B.champsimtrace.xz,N,rand,0.315364,357584,498496,2
48,cadical-high-60K-134B.champsimtrace.xz,I,lfu,0.192549,246158,1141542,2
49,cadical-high-60K-1227B.champsimtrace.xz,N,rand,0.168129,413893,1430331,2
50,cadical-high-60K-134B.champsimtrace.xz,N,lfu,0.193364,292810,1590804,2
51,cadical-high-60K-134B.champsimtrace.xz,I,lru,0.192163,730083,1155673,2
52,kissat-inc-high-30K-1802B.champsimtrace.xz,E,fifo,0.315655,138324,545989,2
53,kissat-inc-high-30K-1802B.champsimtrace.xz,E,rand,0.310362,89969,545946,2
54,cadical-high-60K-1227B.champsimtrace.xz,N,lfu,0.17106,405763,1438669,2
55,cadical-high-60K-1227B.champsimtrace.xz,I,lru,0.165483,746545,1099969,2
56,cadical-high-60K-1227B.champsimtrace.xz,I,lfu,0.170279,369355,1040650,2
57,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lfu,0.318976,388766,372310,2
58,cadical-high-60K-134B.champsimtrace.xz,N,rand,0.193672,380372,1503290,2
59,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lru,0.317606,151768,545989,2
60,cadical-high-60K-1227B.champsimtrace.xz,E,lru,0.162659,97671,1192096,2
61,cadical-high-60K-1227B.champsimtrace.xz,E,lfu,0.160883,36183,1192106,2
62,cadical-high-60K-134B.champsimtrace.xz,E,lfu,0.181935,15955,1227884,2
63,cadical-high-60K-1227B.champsimtrace.xz,E,rand,0.16429,98098,1192007,2
64,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lfu,0.303797,29504,545989,2
65,cadical-high-60K-1227B.champsimtrace.xz,I,fifo,0.165248,740510,1103499,2
66,cadical-high-60K-134B.champsimtrace.xz,E,lru,0.185123,74788,1227886,2
67,cadical-high-60K-1227B.champsimtrace.xz,N,lru,0.16564,744411,1100019,2
68,cadical-high-60K-134B.champsimtrace.xz,N,lru,0.192359,727911,1155718,2
69,cadical-high-60K-1227B.champsimtrace.xz,E,fifo,0.162484,94080,1192096,2
70,cadical-high-60K-134B.champsimtrace.xz,I,rand,0.194415,411091,1135330,2
71,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lfu,0.319705,387915,468187,2
72,cadical-high-60K-134B.champsimtrace.xz,E,fifo,0.211658,347008,1227868,3
73,cadical-high-60K-134B.champsimtrace.xz,I,fifo,0.21444,1061070,822719,3
74,kissat-inc-high-30K-1802B.champsimtrace.xz,I,rand,0.342344,573797,280459,3
75,cadical-high-60K-1227B.champsimtrace.xz,I,rand,0.188678,959968,785567,3
76,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lru,0.343645,579221,278671,3
77,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lru,0.343865,577431,278670,3
78,cadical-high-60K-1227B.champsimtrace.xz,N,fifo,0.1963,1122992,721440,3
79,kissat-inc-high-30K-1802B.champsimtrace.xz,I,fifo,0.342552,572363,284747,3
80,cadical-high-60K-134B.champsimtrace.xz,N,fifo,0.214664,1059277,824347,3
81,kissat-inc-high-30K-1802B.champsimtrace.xz,N,fifo,0.342822,570920,285181,3
82,cadical-high-60K-134B.champsimtrace.xz,E,rand,0.196082,219857,1227807,3
83,kissat-inc-high-30K-1802B.champsimtrace.xz,N,rand,0.342569,570167,285915,3
84,cadical-high-60K-134B.champsimtrace.xz,I,lfu,0.204192,868660,886666,3
85,cadical-high-60K-1227B.champsimtrace.xz,N,rand,0.187219,928809,915495,3
86,cadical-high-60K-134B.champsimtrace.xz,N,lfu,0.204517,827151,1056466,3
87,cadical-high-60K-134B.champsimtrace.xz,I,lru,0.214174,1063924,821824,3
88,kissat-inc-high-30K-1802B.champsimtrace.xz,E,fifo,0.337377,250915,545989,3
89,kissat-inc-high-30K-1802B.champsimtrace.xz,E,rand,0.331145,213461,545935,3
90,cadical-high-60K-1227B.champsimtrace.xz,N,lfu,0.187502,962257,882176,3
91,cadical-high-60K-1227B.champsimtrace.xz,I,lru,0.198714,1162260,684258,3
92,cadical-high-60K-1227B.champsimtrace.xz,I,lfu,0.187476,994444,754015,3
93,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lfu,0.34387,575174,278841,3
94,cadical-high-60K-134B.champsimtrace.xz,N,rand,0.206017,837471,1046260,3
95,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lru,0.343553,267482,545989,3
96,cadical-high-60K-1227B.champsimtrace.xz,E,lru,0.195294,510423,1192081,3
97,cadical-high-60K-1227B.champsimtrace.xz,E,lfu,0.1677,134428,1192103,3
98,cadical-high-60K-134B.champsimtrace.xz,E,lfu,0.183867,72251,1227878,3
99,cadical-high-60K-1227B.champsimtrace.xz,E,rand,0.178989,284190,1192045,3
100,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lfu,0.324471,161640,545989,3
101,cadical-high-60K-1227B.champsimtrace.xz,I,fifo,0.196069,1124580,720843,3
102,cadical-high-60K-134B.champsimtrace.xz,E,lru,0.212296,412305,1227868,3
103,cadical-high-60K-1227B.champsimtrace.xz,N,lru,0.198947,1160177,684256,3
104,cadical-high-60K-134B.champsimtrace.xz,N,lru,0.214434,1061794,821834,3
105,cadical-high-60K-1227B.champsimtrace.xz,E,fifo,0.194392,464504,1192081,3
106,cadical-high-60K-134B.champsimtrace.xz,I,rand,0.20599,865435,905964,3
107,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lfu,0.344105,572587,283513,3
108,cadical-high-60K-134B.champsimtrace.xz,E,fifo,0.227525,554360,1227867,4
109,cadical-high-60K-134B.champsimtrace.xz,I,fifo,0.228512,1214107,671634,4
110,kissat-inc-high-30K-1802B.champsimtrace.xz,I,rand,0.344096,580984,276742,4
111,cadical-high-60K-1227B.champsimtrace.xz,I,rand,0.226155,1333464,512982,4
112,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lru,0.344721,581150,276742,4
113,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lru,0.344941,579359,276742,4
114,cadical-high-60K-1227B.champsimtrace.xz,N,fifo,0.227224,1331451,512982,4
115,kissat-inc-high-30K-1802B.champsimtrace.xz,I,fifo,0.344721,581150,276742,4
116,cadical-high-60K-134B.champsimtrace.xz,N,fifo,0.228816,1211991,671635,4
117,kissat-inc-high-30K-1802B.champsimtrace.xz,N,fifo,0.344941,579359,276742,4
118,cadical-high-60K-134B.champsimtrace.xz,E,rand,0.22591,544494,1227803,4
119,kissat-inc-high-30K-1802B.champsimtrace.xz,N,rand,0.344229,579156,276742,4
120,cadical-high-60K-134B.champsimtrace.xz,I,lfu,0.228513,1214112,671630,4
121,cadical-high-60K-1227B.champsimtrace.xz,N,rand,0.225708,1331298,512984,4
122,cadical-high-60K-134B.champsimtrace.xz,N,lfu,0.228818,1211996,671630,4
123,cadical-high-60K-134B.champsimtrace.xz,I,lru,0.228513,1214110,671632,4
124,kissat-inc-high-30K-1802B.champsimtrace.xz,E,fifo,0.344926,269238,545989,4
125,kissat-inc-high-30K-1802B.champsimtrace.xz,E,rand,0.343928,268844,545970,4
126,cadical-high-60K-1227B.champsimtrace.xz,N,lfu,0.227222,1331447,512986,4
127,cadical-high-60K-1227B.champsimtrace.xz,I,lru,0.226908,1333504,513010,4
128,cadical-high-60K-1227B.champsimtrace.xz,I,lfu,0.226913,1333528,512986,4
129,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lfu,0.344721,581150,276742,4
130,cadical-high-60K-134B.champsimtrace.xz,N,rand,0.227915,1211925,671644,4
131,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lru,0.344941,269248,545989,4
132,cadical-high-60K-1227B.champsimtrace.xz,E,lru,0.227219,679107,1192081,4
133,cadical-high-60K-1227B.champsimtrace.xz,E,lfu,0.216175,617007,1192087,4
134,cadical-high-60K-134B.champsimtrace.xz,E,lfu,0.224972,540537,1227871,4
135,cadical-high-60K-1227B.champsimtrace.xz,E,rand,0.22207,659443,1192084,4
136,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lfu,0.344807,268808,545989,4
137,cadical-high-60K-1227B.champsimtrace.xz,I,fifo,0.226914,1333531,512982,4
138,cadical-high-60K-134B.champsimtrace.xz,E,lru,0.228817,556260,1227867,4
139,cadical-high-60K-1227B.champsimtrace.xz,N,lru,0.227217,1331423,513010,4
140,cadical-high-60K-134B.champsimtrace.xz,N,lru,0.228818,1211994,671632,4
141,cadical-high-60K-1227B.champsimtrace.xz,E,fifo,0.223768,662089,1192081,4
142,cadical-high-60K-134B.champsimtrace.xz,I,rand,0.227822,1214122,671636,4
143,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lfu,0.344941,579359,276742,4
